地区,2018年,2017年,2016年,2015年,2014年,2013年
北京,30320 ,28015 ,25669 ,23015 ,21331 ,19801 
天津,18810 ,18549 ,17885 ,16538 ,15727 ,14442 
河北,36010 ,34016 ,32070 ,29806 ,29421 ,28443 
山西,16818 ,15528 ,13050 ,12766 ,12761 ,12665 
内蒙古,17289 ,16096 ,18128 ,17832 ,17770 ,16917 
辽宁,25315 ,23409 ,22247 ,28669 ,28627 ,27213 
吉林,15075 ,14945 ,14777 ,14063 ,13803 ,13046 
黑龙江,16362 ,15903 ,15386 ,15084 ,15039 ,14455 
上海,32680 ,30633 ,28179 ,25123 ,23568 ,21818 
江苏,92595 ,85870 ,77388 ,70116 ,65088 ,59753 
浙江,56197 ,51768 ,47251 ,42886 ,40173 ,37757 
安徽,30007 ,27018 ,24408 ,22006 ,20849 ,19229 
福建,35804 ,32182 ,28811 ,25980 ,24056 ,21868 
江西,21985 ,20006 ,18499 ,16724 ,15715 ,14410 
山东,76470 ,72634 ,68024 ,63002 ,59427 ,55230 
河南,48056 ,44553 ,40472 ,37002 ,34938 ,32191 
湖北,39367 ,35478 ,32665 ,29550 ,27379 ,24792 
湖南,36426 ,33903 ,31551 ,28902 ,27037 ,24622 
广东,97278 ,89705 ,80855 ,72813 ,67810 ,62475 
广西,20353 ,18523 ,18318 ,16803 ,15673 ,14450 
海南,4832 ,4463 ,4053 ,3703 ,3501 ,3178 
重庆,20363 ,19425 ,17741 ,15717 ,14263 ,12783 
四川,40678 ,36980 ,32935 ,30053 ,28537 ,26392 
贵州,14806 ,13541 ,11777 ,10503 ,9266 ,8087 
云南,17881 ,16376 ,14788 ,13619 ,12815 ,11832 
西藏,1478 ,1311 ,1151 ,1026 ,921 ,816 
陕西,24438 ,21899 ,19400 ,18022 ,17690 ,16205 
甘肃,8246 ,7460 ,7200 ,6790 ,6837 ,6331 
青海,2865 ,2625 ,2572 ,2417 ,2303 ,2122 
宁夏,3705 ,3444 ,3169 ,2912 ,2752 ,2578 
新疆,12199 ,10882 ,9650 ,9325 ,9273 ,8444 
